Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,State Code,State Name,Subgenre,Venue,VenueID
Alternative,47.576599,-122.331596,The Neighbourhood,0,0,4/9/2018,WA,Washington,Alternative Rock,Showbox SODO,ZFr9jZkAak
Alternative,37.640099,-120.970398,Shinedown,0,0,4/9/2018,CA,California,Alternative Rock,Modesto Center Plaza,ZFr9jZaFkA
Alternative,43.045399,-87.898102,Weird Al Yankovic,0,0,4/9/2018,WI,Wisconsin,Alternative Rock,Pabst Theater,ZFr9jZed67
Alternative,40.7201,-74.0047,Candlebox,0,0,4/9/2018,NY,New York,Alternative Rock,City Winery - New York,ZFr9jZFvve
Alternative,39.751202,-104.997498,Dashboard Confessional,0,0,4/9/2018,CO,Colorado,Alternative Rock,The Summit Music Hall,ZFr9jZaedk
Alternative,38.910198,-77.017899,Black Angels,0,0,4/9/2018,DC,District of Columbia,Alternative Rock,9:30 Club,ZFr9jZdeda
Alternative,35.908501,-79.080704,Yo La Tengo,0,0,4/10/2018,NC,North Carolina,Alternative Rock,Cat's Cradle,ZFr9jZ71ve
Alternative,43.045399,-87.898102,Weird Al Yankovic,0,0,4/10/2018,WI,Wisconsin,Alternative Rock,Pabst Theater,ZFr9jZed67
Alternative,45.5303,-122.684799,The Breeders,0,0,4/10/2018,OR,Oregon,Alternative Rock,McMenamins Crystal Ballroom,ZFr9jZd6vv
Alternative,40.7034,-112.112198,Alt-J,0,0,4/10/2018,UT,Utah,Alternative Rock,The Great Saltair,ZFr9jZded6
Alternative,40.720798,-74.045898,L7,0,0,4/10/2018,NJ,New Jersey,Alternative Rock,White Eagle Hall,Z7r9jZaduQ
Alternative,39.973301,-105.195801,Luna,0,0,4/10/2018,CO,Colorado,Alternative Rock,Fox Theatre & Cafe,Z6r9jZk1ee
Alternative,39.709999,-121.809402,Shinedown,0,0,4/10/2018,CA,California,Alternative Rock,Senator Theatre,ZFr9jZA6av
Alternative,46.895699,-114.010803,Car Seat Headrest,0,0,4/10/2018,MT,Montana,Alternative Rock,Top Hat Lounge,ZFr9jZ11Fd
Alternative,43.120998,-79.024803,Daughtry,0,0,4/10/2018,NY,New York,Alternative Rock,The Rapids Theatre - Niagara Falls,ZFr9jZF6kF
Alternative,45.5303,-122.684799,The Neighbourhood,0,0,4/11/2018,OR,Oregon,Alternative Rock,McMenamins Crystal Ballroom,ZFr9jZd6vv
Alternative,36.102807,-115.178313,U2 eXPERIENCE + iNNOCENCE Tour 2018,0,0,5/11/2018,NV,Nevada,Alternative Rock,T-Mobile Arena,KovZpZAIIIdA
Alternative,36.102807,-115.178313,U2 eXPERIENCE + iNNOCENCE Tour 2018,0,0,5/12/2018,NV,Nevada,Alternative Rock,T-Mobile Arena,KovZpZAIIIdA
Alternative,34.037998,-84.169502,U2 eXPERIENCE + iNNOCENCE Tour 2018,0,0,5/28/2018,GA,Georgia,Alternative Rock,Infinite Energy Center,Z6r9jZ6aFe
Alternative,32.7827,-96.775803,Rogue Wave,0,0,5/1/2018,TX,Texas,Alternative Rock,Club Dada,Z7r9jZaeIc
